dataset,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var_importance.mean,var_importance.sd
70,120.0,7.575,1.369919951044187,0.0083333333333333,0.0163654346407418,4049.4476190476194,3138.1245376807733,0.5,0.0589255650988789,119.0,29.75,0.1904,11.9,9.492101980067428,29.75,0.957427107756338,6.610878661087866,1.890724501527706,0.1244807918984344,0.0804954275618518,0.0519368489583333,0.0437542318348277,0.2499999999999999,0.0155386165185446
71,33.0,5.818181818181818,1.609630109965979,0.0303030303030303,0.0667096010756511,472.5587301587302,453.7528894523085,0.5,0.0214274782177741,32.0,16.0,0.015992003998001,3.555555555555556,2.1278575558006176,16.0,1.4142135623730951,4.923076923076923,1.9709427654336855,0.1199369801850681,0.1076828989123114,0.1331676136363636,0.0983186210398374,0.5,0.0190325320060892
72,862.0,12.22505800464037,2.885411008249436,0.0011600928074245,0.0055230427079533,1863229.718303162,5415009.75999766,0.5,0.0311717606555554,861.0,26.90625,0.1051025390625,43.05,39.28368484163422,26.90625,8.905813161329858,11.232733604178758,3.197675715189816,0.0511364290191761,0.0555237233192859,0.0086220699230645,0.0204427474272495,0.03125,0.0420134373187244
73,395.0,9.886075949367088,1.8835875544915155,0.0025316455696202,0.0158240785803169,75280.5819069819,147727.26289786433,0.5,0.0053704312495181,394.0,49.25,0.048095703125,24.625,26.06881917796304,49.25,17.701896589268134,8.899873257287705,2.3237599682426904,0.0692874118298009,0.0689444145995523,0.0186042109622231,0.0259358526395504,0.1249999999999999,0.1849195895912483
74,25.0,5.36,1.4966629547095764,0.04,0.052831432887306,258.8571428571429,201.70419058330495,0.5,0.0848528137423857,24.0,6.0,0.25,3.0,1.6903085094570331,6.0,3.559026084010437,4.489795918367347,1.849802342814765,0.1339782182552836,0.124738640446471,0.1603125,0.1137991036985975,0.25,0.2050451872765192
76,2.0,1.0,0.0,0.5,0.0112239171616912,4.0,0.0,0.5,0.0,1.0,0.0714285714285714,0.0039682539682539,1.0,,1.0,,0.6666666666666666,0.5773502691896258,0.5,,0.5,0.0,0.0714285714285714,0.2672612419124243
77,7.0,3.4285714285714284,1.3972762620115438,0.1428571428571428,0.1397276262011543,26.799999999999997,12.98546195644276,0.5,0.101015254455221,6.0,0.8571428571428571,0.15,1.2,0.4472135954999579,1.5,0.5773502691896257,2.769230769230769,1.5358952955766088,0.190604582611146,0.153253375940726,0.3125,0.1288470508005519,0.1428571428571428,0.3080264431685251
78,56.0,7.589285714285714,2.8905915450854485,0.0178571428571428,0.0521283845790745,6590.253746253746,14197.250255157558,0.5,0.0252538136138052,55.0,2.5,0.108695652173913,3.928571428571429,2.525692158423286,4.583333333333333,3.476108935769036,6.666666666666667,3.113995776646092,0.0699231343962872,0.1008643706019191,0.0855473109654017,0.0869553509239905,0.0454545454545454,0.1233424006759833
79,49.0,6.551020408163265,1.5950604023280217,0.0204081632653061,0.0604147371367642,980.9650793650794,734.4015183286707,0.5,0.0432922519093804,48.0,0.4,0.0948616600790513,5.333333333333333,3.24037034920393,2.526315789473684,1.982378511133408,5.628865979381444,1.991228617947901,0.1233106873044741,0.0877211350302816,0.0959821428571428,0.0892704905292304,0.0083333333333333,0.044767332388336
80,94.0,10.54255319148936,4.444798563639729,0.0106382978723404,0.0168890540676452,356229.4179594057,1060611.9634315788,0.5,0.0,93.0,2.1627906976744184,0.3251748251748251,4.65,2.5188761069384227,2.657142857142857,1.392054282724068,9.60427807486631,4.587686052914704,0.0466375931327872,0.07114738704164,0.0456458152608668,0.0827974033813772,0.0232558139534883,0.0228081642966487
82,116.0,10.267241379310343,3.368286259188503,0.0086206896551724,0.0089462855323238,65559.52713952713,115881.07131672112,0.5,0.0975319698188341,115.0,2.875,0.4020979020979021,7.1875,3.763309713536743,4.423076923076923,7.66380102519932,9.316017316017316,3.577666677021878,0.0610836171018691,0.0889049687908838,0.0396352307549838,0.0766873382910869,0.025,0.0544387601415025
84,18.0,5.111111111111111,1.8113657144911368,0.0555555555555555,0.0852028858485388,187.7904761904762,172.24375480239445,0.5,0.0,17.0,0.0845771144278607,0.1588785046728972,2.125,0.8345229603962802,1.0,0.0,4.285714285714286,2.05184893050474,0.1200104689959241,0.1070577600835554,0.1896701388888889,0.1410024946417621,0.0049751243781094,0.024906949455873
85,2057.0,13.8492950899368,2.9288981372830234,0.0004861448711716,0.0018134191114454,15213370.799828967,105967186.37515216,0.5,0.0051563450256675,2056.0,257.0,0.0996124031007752,82.24,92.56676869517844,257.0,66.23119679253448,12.852905421833212,3.244270907440988,0.0460553540760367,0.0547573207274222,0.0040934803593662,0.0114698128320804,0.125,0.1220064497325696
86,48.0,8.6875,2.4938754767664366,0.0208333333333333,0.0572068442419323,4914.4329448329445,6393.954889593564,0.5,0.0589255650988789,47.0,2.238095238095238,0.027199074074074,3.615384615384616,2.693772495295447,3.1333333333333333,1.7674302033770737,7.7894736842105265,2.6892011660591986,0.0671324419523665,0.107135006830254,0.0526072184244791,0.1049925450987833,0.0476190476190476,0.0793044399875065
89,21.0,5.714285714285714,2.052872551885702,0.0476190476190476,0.103978085997977,335.68253968253964,349.96996817489736,0.5,0.0336717514850737,20.0,1.6666666666666667,0.0851063829787234,2.2222222222222223,0.97182531580755,1.818181818181818,1.2504544628399563,4.878048780487805,2.260476962404389,0.1017303218282973,0.1147146151485729,0.1556919642857142,0.1454889916219616,0.0833333333333333,0.1962354199476046
91,3.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.1666666666666666,6.0,0.0,0.5,0.2357022603955158,2.0,0.3333333333333333,0.0277777777777777,1.0,0.0,1.0,0.0,1.2,0.8366600265340756,0.3535533905932737,0.0,0.5,0.0,0.1666666666666666,0.2581988897471611
92,12.0,4.75,1.815338686155987,0.0833333333333333,0.0809312902243238,96.7047619047619,68.92455969304876,0.5,0.2357022603955158,11.0,5.5,0.2291666666666666,1.5714285714285714,0.5345224838248488,5.5,2.1213203435596424,4.0,1.954016841836789,0.1331810568070131,0.1278983934665907,0.2044270833333333,0.1464555685059517,0.5,0.0526268283700277
93,7.0,3.0,0.816496580927726,0.1428571428571428,0.1811935462164041,20.0,5.849976258261415,0.5,0.101015254455221,6.0,3.0,0.1875,1.5,0.5773502691896257,3.0,0.0,2.3076923076923075,1.1821319289469756,0.2524478085859489,0.1236233060195861,0.375,0.1020620726159657,0.5,0.2805979290422807
94,17.0,4.470588235294118,1.007326105267277,0.0588235294117647,0.0610419060015979,94.8,40.92757831422068,0.5,0.1247835496211554,16.0,8.0,0.2222222222222222,2.6666666666666665,1.632993161855452,8.0,1.4142135623730951,3.636363636363636,1.4538350537926794,0.1665137003300776,0.0982148440459601,0.2150735294117647,0.1023898708943648,0.5,0.3658901472012092
95,14.0,4.642857142857143,1.6458405781822274,0.0714285714285714,0.0711035032941991,104.03809523809524,77.45990400017759,0.5,0.2020305089104421,13.0,6.5,0.2708333333333333,1.8571428571428568,0.6900655593423541,6.5,0.7071067811865476,3.851851851851852,1.8750118708076264,0.1331810568070131,0.1278983934665907,0.2198660714285714,0.1506464293269377,0.5,0.3718857886240361
96,7.0,3.4285714285714284,1.3972762620115438,0.1428571428571428,0.1882425771634644,26.8,12.98546195644276,0.5,0.101015254455221,6.0,3.0,0.1875,1.2,0.4472135954999579,3.0,0.0,2.769230769230769,1.5358952955766088,0.190604582611146,0.153253375940726,0.3125,0.1288470508005519,0.5,0.5724197752462528
97,16.0,4.8125,1.682012683265696,0.0624999999999999,0.0448717948717948,133.27619047619046,103.37199867640778,0.5,0.0,15.0,5.0,0.3846153846153846,2.142857142857143,0.6900655593423541,7.5,7.7781745930520225,4.0,1.932183566158592,0.1384372827191647,0.1117743721908866,0.208984375,0.141763332522612,0.3333333333333333,0.4630542519188783
98,9.0,3.555555555555556,1.130388330520878,0.1111111111111111,0.0982092751647982,34.13333333333333,15.156516750229915,0.5,0.0785674201318386,8.0,2.0,0.2222222222222222,1.6,0.5477225575051661,2.0,1.1547005383792517,2.823529411764706,1.4245742398014511,0.19706908487134,0.1218475805876502,0.3125,0.1316585902058806,0.25,0.1937819401523736
99,29.0,5.965517241379311,1.7623595915843226,0.0344827586206896,0.0368627306836948,444.4761904761904,332.04575187932744,0.5,0.1706809471829597,28.0,5.6,0.3888888888888889,3.5,1.4142135623730951,5.6,2.701851217221259,5.087719298245614,2.063982815494509,0.1249029794108391,0.0769629479825013,0.1314655172413793,0.1213197948814621,0.2,0.1494785856454858
100,16.0,4.5,1.2110601416389966,0.0625,0.0531903948753521,95.6,49.91099633903891,0.5,0.0,15.0,2.5,0.4166666666666667,2.5,1.0488088481701516,2.5,1.378404875209022,3.6774193548387095,1.5787568268354597,0.1693126064876346,0.0792115071843838,0.21875,0.1185854122563142,0.1666666666666666,0.1608196372622655
101,13.0,5.615384615384615,2.292686253374032,0.0769230769230769,0.0660357376458606,185.5619047619048,134.36493959246053,0.5,0.054392829322042,12.0,6.0,0.2857142857142857,1.5,0.7559289460184544,6.0,1.4142135623730951,4.88,2.3330952259462823,0.1142141760209162,0.1267187272214874,0.1628605769230769,0.1756754934713725,0.5,0.093721926465569
102,92.0,9.576086956521738,3.338861079924828,0.0108695652173913,0.0107912772310672,99705.58886823534,400319.9547195225,0.5,0.0153718865475336,91.0,13.0,0.3033333333333333,4.789473684210527,4.049402526140548,15.166666666666666,19.913981687916323,8.633879781420765,3.541333598490511,0.0501079928405899,0.0844381400918767,0.0445098462312117,0.086276553254315,0.1428571428571428,0.2324372189626553
103,16.0,5.3125,2.330057223903882,0.0625,0.0540986752764489,246.6349206349206,292.2937523426052,0.5,0.0883883476483184,15.0,5.0,0.3,1.6666666666666667,0.7071067811865476,5.0,2.0,4.516129032258065,2.4748194242804264,0.1128368151203387,0.1345830524476606,0.197998046875,0.1634815405205831,0.3333333333333333,0.158719824351063
104,14.0,5.428571428571429,2.5332947751066035,0.0714285714285714,0.0676163533373244,237.968253968254,266.9833284684601,0.5,0.0,13.0,4.333333333333333,0.2888888888888888,1.4444444444444444,0.5270462766947299,4.333333333333333,1.5275252316519463,4.666666666666667,2.616515592568454,0.1091428138287993,0.1473716182065356,0.1994977678571428,0.187150454716155,0.3333333333333332,0.0799618337911602
105,21.0,8.428571428571429,3.815382399857563,0.0476190476190476,0.039532343624377,4548.274481074482,7486.104040492441,0.5,0.101015254455221,20.0,4.0,0.3703703703703703,1.4285714285714286,0.5135525910130955,4.0,4.636809247747852,7.658536585365853,3.78556307633066,0.066654681626977,0.1103135222303064,0.0981387183779761,0.162375511922015,0.2,0.2545187126701028
106,46.0,6.673913043478261,1.8141952342088448,0.0217391304347826,0.0269696766660997,1131.1999999999996,1207.393428706045,0.5,0.0307437730950672,45.0,15.0,0.46875,4.5,3.064129385141706,15.0,11.357816691600547,5.758241758241758,2.1568529509483607,0.1212655387485225,0.0981193517487996,0.096976902173913,0.0991801391265881,0.3333333333333333,0.0680589936631603
