dataset,best_node.mean.relative,best_node.sd.relative,elite_nn.mean.relative,elite_nn.sd.relative,linear_discr.mean.relative,linear_discr.sd.relative,naive_bayes.mean.relative,naive_bayes.sd.relative,one_nn.mean.relative,one_nn.sd.relative,random_node.mean.relative,random_node.sd.relative,worst_node.mean.relative,worst_node.sd.relative
166,5.5,4.5,4.0,3.0,5.5,4.5,7.0,6.0,1.0,7.0,2.5,1.5,2.5,1.5
167,6.0,2.0,1.0,7.0,4.0,5.0,2.0,6.0,3.0,4.0,6.0,2.0,6.0,2.0
168,6.0,2.0,2.0,7.0,4.0,5.0,1.0,6.0,3.0,4.0,6.0,2.0,6.0,2.0
169,6.0,2.0,1.0,7.0,4.0,4.0,2.0,6.0,3.0,5.0,6.0,2.0,6.0,2.0
170,6.0,2.0,1.0,7.0,4.0,4.0,2.0,6.0,3.0,5.0,6.0,2.0,6.0,2.0
171,6.0,2.0,2.0,7.0,4.0,4.0,1.0,5.0,3.0,6.0,6.0,2.0,6.0,2.0
172,6.0,2.0,1.0,7.0,4.0,4.0,2.0,5.0,3.0,6.0,6.0,2.0,6.0,2.0
173,7.0,4.0,4.0,1.0,6.0,2.0,3.0,3.0,1.0,7.0,5.0,5.0,2.0,6.0
174,3.5,4.5,1.5,6.5,6.0,1.0,6.0,2.5,1.5,6.5,3.5,4.5,6.0,2.5
175,6.0,2.0,6.0,2.0,6.0,2.0,4.0,5.0,1.0,6.0,3.0,4.0,2.0,7.0
176,3.5,2.5,5.0,7.0,6.0,4.0,7.0,5.0,2.0,6.0,3.5,2.5,1.0,1.0
177,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
178,7.0,6.0,5.0,4.0,6.0,5.0,1.0,1.0,4.0,7.0,2.5,2.5,2.5,2.5
179,6.0,2.0,6.0,2.0,3.0,4.0,4.0,7.0,6.0,2.0,1.5,5.5,1.5,5.5
180,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
181,6.0,1.0,4.0,2.0,3.0,5.0,5.0,4.0,7.0,3.0,1.5,6.5,1.5,6.5
182,4.0,6.0,3.0,7.0,6.0,4.0,5.0,5.0,7.0,3.0,2.0,1.0,1.0,2.0
