dataset,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
283,0.7460000000000001,0.0718331399842718,0.73,0.0286744175568087,0.6699999999999999,0.0590668171555644,0.6699999999999999,0.0767390962214756,0.612,0.073756355658343,0.5680000000000002,0.0103279555898863,0.5640000000000001,0.0183787316694536
284,0.6519999999999999,0.0784290195725479,0.69,0.0767390962214756,0.644,0.0602218122167264,0.6180000000000001,0.054528280124476,0.554,0.0604060335470629,0.5279999999999999,0.0103279555898864,0.506,0.0365756445982538
285,0.566025641025641,0.1242645836744698,0.5474358974358975,0.1693354161469556,0.6461538461538461,0.1000766745279415,0.5980769230769231,0.0931903235791967,0.5461538461538462,0.0785557968726387,0.6076923076923076,0.0261348458998643,0.6076923076923076,0.0261348458998643
286,0.7151515151515151,0.082492494003493,0.5878787878787877,0.1399272479939124,0.6545454545454544,0.0603150437594583,0.5941558441558442,0.1139525823116529,0.8268398268398268,0.0696612589598921,0.6160173160173159,0.080467225877014,0.645021645021645,0.0197854389621963
287,0.7025,0.1133660083616418,0.5358333333333333,0.1418190901147925,0.5595833333333333,0.1991692817122604,0.4079166666666666,0.1080917891263865,0.645,0.1344685469671506,0.6837500000000001,0.0202654071855233,0.6212500000000001,0.1973635057325992
288,0.7094623655913979,0.044706132127098,0.403010752688172,0.2467870386549245,0.741720430107527,0.0395884585814013,0.6205376344086021,0.0996718063528602,0.6776344086021505,0.133506458690756,0.735268817204301,0.0099561608920238,0.735268817204301,0.0099561608920238
289,0.5164835164835165,0.0933886357800876,0.5725274725274725,0.1784337780726913,0.6203296703296705,0.2136578573100913,0.6126373626373626,0.2121579657438882,0.7956043956043956,0.0885129041900704,0.5917582417582418,0.1028270439039086,0.6137362637362637,0.0171907692751023
290,,,,,,,,,,,0.5189247311827956,0.0643969428755608,,
291,,,,,,,,,,,0.6395402298850574,0.0143071516233006,,
292,0.7185185185185186,0.0959474529764219,0.3296296296296296,0.1741134707191579,0.8407407407407408,0.0429445114343853,0.8407407407407407,0.0429445114343854,0.5814814814814815,0.0856224241204923,0.7518518518518518,0.1271664867340058,0.5851851851851851,0.0624647439045605
293,,,,,,,,,,,0.79375,0.0237536546895653,,
294,,,,,,,,,,,0.75,0.2435590024086997,,
295,0.9317829457364342,0.072340533626178,0.9111918604651164,0.0722258804075542,0.9617732558139536,0.0477760293410329,0.7838178294573643,0.1215268495590673,0.539389534883721,0.0724548254304802,0.563953488372093,0.0093362457576192,0.5624515503875969,0.0152262537279962
296,0.7331898184014752,0.011067114972535,0.6818375664202796,0.0135481801951111,0.8152207562964673,0.0066798941043165,0.7086551793082698,0.0031583956128245,0.7063282303091054,0.0078028425570242,0.7040028415340124,0.0001595477504282,0.7040028415340124,0.0001595477504282
297,0.7930560205194506,0.0061603800982971,0.6847488674892065,0.1208282921988756,0.8358497307746685,0.0061895154520544,0.7147125084897378,0.0073875756102088,0.7302050134429676,0.0039984138593303,0.7032128673412742,0.0030438543257816,0.7040028415340124,0.0001595477504282
