dataset,cohesiveness.mean,cohesiveness.sd,conceptvar.mean,conceptvar.sd,impconceptvar.mean,impconceptvar.sd,wg_dist.mean,wg_dist.sd
113,14.208333333333334,0.485711326775222,0.3650847149827181,0.1532598755553599,6.447916666666667,1.189143599402528,1.3761224174664102,0.0427312805887166
114,27.53333333333333,1.8608742857443732,0.4649115629557234,0.0833151881162465,13.6,1.6235815190967595,0.4924762051818066,0.0662011275362649
115,14.75347222222222,0.3541580363488666,0.4740663307769741,0.1692130360371014,6.777777777777778,2.418952294577733,1.0470372759122286,0.0552930267337889
116,13.890625,1.3765570363023645,0.4503163068275252,0.0846194258703234,6.859375,1.550152828053602,0.5857061959311143,0.0874816593815095
117,27.116666666666667,2.3629675874224425,0.4948624357452637,0.0644413017689776,13.433333333333334,1.933133634728213,0.6832549618606786,0.12203319478349
118,14.983333333333333,2.277546027875377,0.4852978515714554,0.0356151266282366,7.261111111111111,1.3969890059797474,1.0698574194185153,0.1974591941106925
119,18.0,1.192927878405448,0.4968464554096682,0.0869739614681406,8.9875,1.5472784212353357,0.4366022868348553,0.0218143323552721
120,16.930555555555557,0.6777354917852516,0.4782852261202506,0.1131533908896778,8.583333333333334,1.0723805294763609,0.430085264726591,0.027348887955194
121,23.5,2.0187797547313595,0.372891019940542,0.1266646827128131,10.51851851851852,2.6868178607102724,0.5893474789523306,0.1070486411334141
122,18.325,1.0318641333739582,0.5122495826307839,0.053696211147239,9.2875,1.1245369417379465,0.4395225153547523,0.0223260205162507
123,14.34375,0.9327162898863484,0.5307993981807623,0.0416243622751253,7.34375,0.6890561567076912,0.4460654477157738,0.0215169909826865
124,9.5,0.0,0.436093443944262,0.1862710318167441,4.153846153846154,1.7533946254481925,1.451968903236873,0.0776298457284014
125,198.325,3.9480492311810873,0.501141841238894,0.0065009129178398,99.38,2.5154236004546657,0.5004459200549597,0.1001472273567702
126,198.11,2.8235649092933,0.5004866337475665,0.021375821078239,99.13125,4.237168267228956,0.5832797781460463,0.0801254779667423
127,197.74125,5.076598572880807,0.5009471839688315,0.0146595424957725,99.05,3.9372426518120673,0.5569992439553958,0.0905767199514872
128,198.08625,3.717852809254045,0.500915135765671,0.0176225801958086,99.185,3.9216751957361446,0.5696210260232278,0.0798395671082894
129,197.5375,6.321768394926988,0.4853757344817913,0.0902975109366616,95.93625,17.43099530810211,0.377268999450518,0.1558430455618596
130,40.0,0.0,0.4960983532515267,0.0530524912829739,19.900621118012424,2.119713922160545,1.449820929870904,0.0201383518876183
131,110.58407738095238,11.139306780758451,0.3359888391736204,0.234361472109664,28.578125,19.60850974773008,1.8995392651205452,0.0971456075422006
132,46.0,0.0,0.5005417688038103,0.030448729874782,23.043243243243243,1.3762919899491242,1.5097618890678677,0.0351686987170621
133,106.13288288288288,4.126577556536763,0.3372628490596957,0.1481623866435708,49.35585585585586,11.055625988892611,0.3726630313554759,0.0498770664279814
134,6.76,0.2110469528956308,0.5084118286188911,0.0195960305495986,3.41,0.2474873734152916,1.9974678831626056,0.0345273482188888
135,18.541666666666668,0.4747126632775413,0.4765621446869906,0.0815315172811109,9.15277777777778,1.593094448472136,1.4526766497307553,0.0476847190080494
136,inf,,,,,,,
137,13.75,0.0,0.4834058239324289,0.1069604507960487,6.678571428571429,1.4784161409137435,1.519182500693628,0.0369653978306154
138,9.0,0.0,0.4042036745422953,0.2146691734948507,3.6486486486486487,1.91345696778568,1.4302988288439544,0.0505407152511542
139,10.693181818181818,0.1487705073184202,0.4473144561740892,0.1607158955623375,4.886363636363637,1.6654880434374126,1.5293730881582606,0.0918043534549525
140,19.384615384615383,2.690174359491324,0.465382465776368,0.0768052954131015,9.259615384615383,1.9093818541236616,0.8761313979371244,0.1355626569677598
141,226.7991452991453,7.967293912439413,0.4826553311125737,0.0661684250333228,113.10363247863248,11.364717163162748,0.4041993794724525,0.0267805360141764
142,inf,,,,,,,
143,inf,,,,,,,
144,inf,,,,,,,
145,37.59027777777778,2.962668492257542,0.4236820850385627,0.1920201924591087,15.90972222222222,7.246108231427242,0.808201434731886,0.1371877713828777
146,186.72547522063812,28.78017062048432,0.4791678936397867,0.0964378128815354,89.93058384249831,19.63001610483506,2.236375616120637,0.2852311466086284
148,inf,,,,,,,
149,inf,,,,,,,
150,inf,,,,,,,
151,67.92075,2.853405888201966,0.2679051127617409,0.2480771331172697,16.8,15.596361530368933,2.2326198291138497,0.0760381065538521
